Y	X	lane	road	fence	bus	large.truck	D.Urban	D.agri	D.forest	D.grass	D.wetland	D.bare	D.water	A.Urban	A.agri	A.Grass	A.wetland	A.bare	A.water	adult	sub-adult	juvenile	non-identification	PA
0.40529853	0.90242167	0.367416919	0.667423994	0.074868037	0.641393365	0.576857208	0.640268292	0.490840261	0.376577075	0.336750236	0.661863976	0.61799373	0.526937724	0.217021287	0.355021798	0.523685141	0.172628157	0.273089996	0.182437139	5.567764363	0	0	1.414213562	5.744562647
0.391182275	0.858028434	0.354358261	0.671737483	0.26285419	0.630502524	0.553779832	0.638904122	0.485076432	0.390515445	0.344059669	0.645041522	0.604041157	0.519153284	0.223892173	0.381116902	0.52368464	0.181621354	0.25723827	0.185984012	4.041451884	0.577350269	0	1.414213562	4.320493799
0.350139674	0.805826191	0.337647479	0.68096166	0.285064731	0.628361112	0.538202032	0.631299708	0.471481566	0.392081335	0.353430577	0.634863406	0.599142947	0.514621439	0.226375273	0.384192597	0.516971484	0.180809744	0.246606683	0.197032191	1	0	0	0	1
0.317156567	0.741471782	0.321389801	0.679703841	0.271000157	0.618787521	0.506022409	0.617405528	0.449588112	0.400261525	0.363056179	0.613745064	0.594806542	0.501981078	0.229338439	0.400354752	0.50461387	0.19226217	0.241311194	0.215792178	0	0	0	0	0
0.239667494	0.674361853	0.302803577	0.677446115	0.104678671	0.62440579	0.472249258	0.604702731	0.419431003	0.396991528	0.370074993	0.607363169	0.595237316	0.492950554	0.231698958	0.398260531	0.482724255	0.196069951	0.231016622	0.257504677	3.31662479	1	0	2.449489743	4.242640687
0.235466288	0.635164101	0.271672649	0.661842446	0.099429841	0.591523382	0.423442357	0.588065866	0.402144055	0.40225438	0.371257833	0.53478136	0.602076564	0.467837659	0.22940691	0.407988089	0.485164316	0.212514159	0.212831255	0.223008751	4.123105626	1.414213562	0	2	4.795831523
0.239385131	0.596994666	0.279803421	0.656796215	0.207620539	0.586817601	0.422798473	0.59242155	0.406720241	0.399462242	0.365599303	0.546456645	0.599655831	0.47362388	0.230831554	0.422508356	0.508232487	0.218040647	0.221603402	0.209854853	1	0	0	1	1.414213562
0.226429503	0.527042182	0.299238265	0.662585529	0.432649627	0.585361101	0.437816522	0.605170063	0.421341765	0.388833185	0.358241516	0.544247749	0.610153867	0.479042127	0.223204496	0.43775461	0.537891167	0.237883805	0.210290477	0.183634758	0.816496581	0	0	0.577350269	1
0.190578366	0.447584116	0.31046569	0.670828536	0.470096746	0.592883697	0.448972211	0.618209127	0.433504014	0.385059405	0.349447775	0.556844641	0.62591929	0.492498681	0.216290774	0.449589506	0.574994184	0.241747946	0.193782923	0.167415206	0.707106781	0	0	0	0.707106781
0.158359111	0.377591356	0.321626128	0.678816335	0.515684179	0.597168795	0.46136613	0.62970405	0.447683299	0.379744901	0.342962142	0.571618275	0.638998377	0.505919048	0.207926353	0.455632921	0.607632631	0.241423577	0.179639815	0.154229491	2.081665999	0.577350269	0	0.577350269	2.236067977
0.131141738	0.321012822	0.328372427	0.683964418	0.270386569	0.603785591	0.463447316	0.640428832	0.448531377	0.391559202	0.335038938	0.591283896	0.65341636	0.518819374	0.206566731	0.470440761	0.63001912	0.228378196	0.167643996	0.147960911	1	0	0	0	1
0.128949808	0.30608302	0.337661283	0.694924898	0.117307613	0.605323113	0.479278535	0.646043259	0.45584929	0.394768046	0.334349129	0.6100473	0.658762875	0.525654061	0.205984106	0.456292637	0.64244865	0.214738629	0.164282664	0.145384418	2.236067977	0	0	1.414213562	2.645751311
0.097754898	0.275317302	0.358269712	0.688742535	0.019246151	0.616101365	0.483352675	0.65195567	0.436076664	0.402500737	0.332334943	0.630106218	0.666104673	0.536887855	0.205431889	0.485987393	0.656285434	0.221846181	0.151045306	0.141885685	4.242640687	1.414213562	1	2.828427125	5.385164807
0.14114522	0.243662069	0.338766338	0.666438178	0.017214104	0.600284571	0.42668737	0.638807396	0.413562819	0.436368777	0.337282077	0.595108983	0.635251633	0.507200243	0.221543144	0.560400782	0.624156482	0.228043078	0.17241661	0.163576076	3	1.414213562	0	1.414213562	3.605551275
0.119196478	0.189645967	0.347831102	0.665849503	0.007609377	0.626951812	0.425760744	0.625032162	0.403575609	0.440041391	0.332070195	0.582168652	0.638404879	0.5293943	0.242663522	0.67791303	0.612773209	0.221676583	0.166617957	0.161157158	4.472135955	1.732050808	0	3.16227766	5.744562647
0.410431157	0.863647415	0.356750962	0.662069196	0.170875024	0.623507591	0.541936207	0.640712106	0.480875013	0.396319465	0.343735069	0.644437016	0.602135585	0.521416229	0.224761325	0.394883137	0.51807234	0.189698248	0.262598488	0.183344964	1	0	0	0	1
0.410653711	0.824706191	0.347784791	0.664204068	0.322277951	0.611325494	0.520709422	0.638428768	0.473341768	0.409055438	0.350397085	0.634181775	0.587016794	0.515909178	0.229008998	0.424063588	0.513021229	0.201575304	0.258690284	0.186663444	2.408318916	0.447213595	0	0.894427191	2.607680962
0.385639559	0.827462945	0.348985308	0.681370464	0.531766525	0.623697763	0.547240962	0.631502564	0.479248964	0.402550278	0.345765388	0.633724879	0.595650343	0.516217615	0.229110562	0.399836573	0.519179394	0.187506253	0.250060935	0.1927101	4.123105626	1	0	2	4.69041576
0.363667803	0.730112742	0.324834995	0.677776531	0.309247522	0.604059591	0.500026366	0.620980581	0.449558176	0.409261213	0.357398277	0.609836506	0.586755811	0.498911086	0.231358366	0.436199947	0.510390453	0.204160933	0.252943797	0.194936624	0	0	0	0	0
0.297109731	0.674314223	0.302278935	0.669667221	0.16292686	0.594275891	0.457390078	0.601026834	0.427209646	0.406773411	0.369178673	0.580089316	0.59017036	0.486840763	0.230850381	0.414691246	0.49070099	0.207236677	0.23657046	0.217684277	1	0	0	1	1.414213562
0.300810467	0.620611769	0.290853955	0.662127939	0.197253815	0.569998029	0.423859719	0.599640631	0.408979941	0.409677696	0.369634121	0.541638291	0.5857889	0.464178998	0.231168868	0.437761701	0.498112329	0.222780275	0.241281539	0.196709899	0	0	0	0	0
0.258948955	0.584823346	0.284570223	0.655401886	0.28441559	0.576667509	0.419378437	0.595936422	0.406227355	0.397171112	0.369644499	0.536114673	0.59831255	0.468416536	0.228960346	0.43354399	0.507762393	0.227963864	0.223163329	0.196703466	1	0	0	0	1
0.235298959	0.52544482	0.313449689	0.666388749	0.611948311	0.587550281	0.453518301	0.607489097	0.431525265	0.385493061	0.359897537	0.540360003	0.600659586	0.480152464	0.223006916	0.444180508	0.537801259	0.250520633	0.209958755	0.173863081	0	0	0	0	0
0.194571148	0.455114999	0.319876918	0.673265777	0.646618809	0.591012591	0.461252444	0.619558474	0.442185805	0.376379873	0.351471694	0.552562424	0.622568365	0.491143354	0.213933936	0.443446111	0.574155066	0.250778058	0.193469011	0.164428901	1.527525232	0	0	0.577350269	1.632993162
0.174773219	0.397740292	0.325193156	0.679941679	0.69378854	0.590591768	0.469793878	0.627934145	0.455962061	0.371734165	0.344535398	0.568427902	0.627141955	0.502154555	0.208476055	0.445297956	0.608623641	0.24257673	0.188413594	0.156121273	1	0	0	0	1
0.135395228	0.327890893	0.329284763	0.682836184	0.485336047	0.602155116	0.466721929	0.635425685	0.452674504	0.380550257	0.34037785	0.590501807	0.651811458	0.518536673	0.199467579	0.462730982	0.624701447	0.247898602	0.169594104	0.144115799	3.31662479	1	0	1	3.605551275
0.175914375	0.304776344	0.30090868	0.688855053	0.216973344	0.596022703	0.445450569	0.628679244	0.441065872	0.398444711	0.341594032	0.578727714	0.639876966	0.512379427	0.198684163	0.46710969	0.62618784	0.211531967	0.179506246	0.146148416	1.414213562	0	0	1.414213562	2
0.155059616	0.279746173	0.319565164	0.670210169	0.052114196	0.57920093	0.41321721	0.641672873	0.429055298	0.409103475	0.342043421	0.582027735	0.64169031	0.498203151	0.194697803	0.460930609	0.625704148	0.206224185	0.168784552	0.151252245	4.795831523	1	0	0	4.898979486
0.201297984	0.239848784	0.295831543	0.655318755	0.04522128	0.591741399	0.387224722	0.598058429	0.395875317	0.425500809	0.363547943	0.571665839	0.615791775	0.478285437	0.223221108	0.509392644	0.618290503	0.216397684	0.197156417	0.170544541	3.16227766	1	0	1	3.464101615
0.173110611	0.192709356	0.306543469	0.653481652	0.017317451	0.60358602	0.38963633	0.609888812	0.393965106	0.438476984	0.349217293	0.570125051	0.613080517	0.490567403	0.24714992	0.603443863	0.613955244	0.226363099	0.192534789	0.175468956	2.449489743	1	0	1.414213562	3
0.436263595	0.819108613	0.338682071	0.643964038	0.174379972	0.588301858	0.48224094	0.641263074	0.461298774	0.424143944	0.353998504	0.620485144	0.579013779	0.515309733	0.231233698	0.453181318	0.498013632	0.218262986	0.265163257	0.185288719	2.645751311	0	0	0	2.645751311
0.4456579	0.765617878	0.336883978	0.651973236	0.233582273	0.580299693	0.46317567	0.630794945	0.443391979	0.424793794	0.360488799	0.626238193	0.565855989	0.514265915	0.233175752	0.485480592	0.490814847	0.225957231	0.2625381	0.178585024	1.732050808	0	0	0	1.732050808
0.412186623	0.766554474	0.336180601	0.66497314	0.36437498	0.598675398	0.492581308	0.631382599	0.455439861	0.417451945	0.355836658	0.621646374	0.577923752	0.504872487	0.232009824	0.457839509	0.509225272	0.215804432	0.261736138	0.185897808	1	0	0	0	1
0.410776796	0.686355345	0.316137524	0.654113606	0.236873374	0.569282861	0.445758368	0.62290221	0.423439322	0.422351184	0.361948024	0.592840522	0.569180714	0.492004828	0.233889042	0.502582317	0.499071689	0.225994613	0.275208369	0.172604528	1.414213562	0.632455532	0	0.632455532	1.673320053
