Y	X	lane	road	fence	bus	large.truck	D.Urban	D.agri	D.forest	D.grass	D.wetland	D.bare	D.water	A.Urban	A.agri	A.Grass	A.wetland	A.bare	A.water	adult	sub-adult	juvenile	non-identification	PA
0.09177067	0.19823785	0.332455793	0.668306507	0.092386456	0.610154706	0.437490818	0.630535102	0.415126757	0.402945857	0.329237492	0.578122645	0.652358247	0.52700268	0.218308872	0.592735291	0.631510409	0.223633404	0.153727791	0.158264425	2	1.414213562	0	1.414213562	2.828427125
0.110070469	0.179173668	0.312748831	0.658048266	0.121783697	0.603347111	0.426313735	0.636880124	0.403701174	0.405709108	0.318966641	0.574608895	0.65727169	0.512924973	0.218312873	0.583564776	0.618661148	0.2353964	0.153290192	0.171740261	2.236067977	1.414213562	0	1	2.828427125
0.155606969	0.140787955	0.298057691	0.642678485	0.093418034	0.609018246	0.405224563	0.616205539	0.395199774	0.44763422	0.32990211	0.564126786	0.633272189	0.500206031	0.25023415	0.65007618	0.60586324	0.237895035	0.177765238	0.195000126	3.605551275	2	0	2.449489743	4.795831523
0.21640769	0.154942397	0.287320627	0.6496022	0.137565492	0.600747468	0.390511233	0.615091355	0.401652136	0.439262899	0.327967853	0.570708987	0.640669485	0.496547817	0.253620758	0.61574979	0.606619694	0.230222688	0.193483897	0.184243932	1.732050808	1	0	1	2.236067977
0.280109617	0.148869777	0.288362407	0.64997433	0.126837744	0.603600609	0.385648531	0.591677641	0.395211434	0.476835662	0.344698457	0.525914781	0.628917551	0.497166556	0.272813375	0.65709156	0.578837302	0.232313846	0.196953669	0.188128265	3	0	0	1.732050808	3.464101615
0.360345285	0.163964737	0.3099391	0.635577363	0.196855645	0.606548611	0.431821366	0.603003935	0.411033731	0.469371831	0.358377926	0.528290137	0.626236561	0.503316787	0.280812336	0.635901517	0.583752722	0.228539738	0.215174927	0.19500531	0	1	0	1	1.414213562
0.465498371	0.149759734	0.308643962	0.600706896	0.171403388	0.595030075	0.459227963	0.605672316	0.422651411	0.473302709	0.361728702	0.497671191	0.643056091	0.508444163	0.298754933	0.634240796	0.575297048	0.246009664	0.221333691	0.206890271	2.645751311	0	0	1	2.828427125
0.550568701	0.151057563	0.327307905	0.595922342	0.178870901	0.630805697	0.538776038	0.597511542	0.434879724	0.464834869	0.377001264	0.512690489	0.623158476	0.521430595	0.29220877	0.635160695	0.570417248	0.243163775	0.250524179	0.181558756	2.828427125	1.414213562	0	2.645751311	4.123105626
0.574056403	0.169952602	0.35104584	0.62013729	0.314316829	0.641054856	0.561742166	0.572741285	0.44867698	0.462942748	0.374216886	0.528707021	0.632352414	0.530605914	0.31785119	0.596535876	0.577063127	0.24042967	0.265599548	0.186731728	1	0	0	1	1.414213562
0.609108229	0.189632792	0.379657043	0.643171219	0.510802108	0.655092399	0.586551381	0.557665417	0.456007182	0.459931478	0.368357904	0.553356305	0.638090308	0.540663052	0.33669246	0.57866785	0.581292437	0.223534302	0.276661689	0.172477516	2.236067977	0	0	0	2.236067977
0.658131229	0.218972373	0.39803535	0.66157398	0.560053789	0.675905565	0.584864087	0.562942016	0.465291167	0.440678981	0.366166737	0.573890533	0.61775618	0.522569329	0.338609536	0.508969241	0.590177403	0.208201498	0.287986155	0.171482454	1.483239697	0.447213595	0	1	1.843908891
0.725580016	0.25685442	0.417545666	0.685555877	0.581957753	0.700181644	0.579989858	0.568265603	0.477797453	0.421053735	0.366841084	0.600884775	0.593092189	0.507692937	0.341569072	0.422277779	0.590408635	0.188841665	0.30106186	0.16946803	0	1	0	1	1.414213562
0.792686135	0.27466522	0.41072949	0.691056848	0.621037451	0.70084297	0.542608921	0.571346749	0.475801237	0.39496914	0.371565925	0.596519749	0.566017891	0.497937214	0.311614662	0.369314169	0.570721998	0.182530161	0.303199703	0.173004275	1.414213562	0	0	0	1.414213562
0.835138823	0.295989691	0.370366488	0.664704614	0.546790034	0.674856228	0.487373235	0.582270388	0.478186188	0.379462508	0.368513069	0.597778141	0.556654661	0.487900302	0.277895254	0.341268972	0.553765857	0.183718019	0.297490915	0.1706514	0	0	0	1	1
0.862976531	0.298309171	0.354547134	0.653928812	0.693988875	0.659318586	0.46663178	0.600354377	0.475851251	0.382074177	0.373642993	0.594066419	0.531101542	0.487683614	0.263286302	0.360039826	0.544636534	0.195115592	0.298921829	0.159952301	4	0	0	2.236067977	4.582575695
0.067255961	0.245228155	0.3489758	0.677686699	0.082518191	0.606069186	0.452655212	0.653782222	0.431562015	0.40645369	0.317519393	0.566355988	0.659565291	0.530881829	0.214498243	0.574882136	0.639687931	0.218347975	0.147130372	0.151269605	3.605551275	1.414213562	0	2	4.358898944
0.102617177	0.238956871	0.326976101	0.663011831	0.133826434	0.598940411	0.442017095	0.646694856	0.429319643	0.407405265	0.318599244	0.590156437	0.659189021	0.520678967	0.216044773	0.548175389	0.642925805	0.229377952	0.156952129	0.156634266	1.414213562	0	0	0	1.414213562
0.157736247	0.182302714	0.300473319	0.655777895	0.17930692	0.596951026	0.414097292	0.628246568	0.410523024	0.428122086	0.319654906	0.570514119	0.64705068	0.510300946	0.236324332	0.595675768	0.618251847	0.231307378	0.175189379	0.176800606	1.414213562	0	0	1	1.732050808
0.223703411	0.20839091	0.307764823	0.661533238	0.166804014	0.595993184	0.412896684	0.622568118	0.417914682	0.42365796	0.328561719	0.592821459	0.641788105	0.508905474	0.238495128	0.551849689	0.621228627	0.218183869	0.196297276	0.169453111	2.449489743	1	0	1	2.828427125
0.277387606	0.174020125	0.304421991	0.65208591	0.26667303	0.606948101	0.41872319	0.613559882	0.414700279	0.444530322	0.343693394	0.561146664	0.631901777	0.495106885	0.259890103	0.602364921	0.605189448	0.219056474	0.201309213	0.182025384	2	1	0	0	2.236067977
0.351690727	0.201653157	0.328041895	0.653405694	0.260102401	0.615449008	0.456500408	0.60957055	0.424199182	0.444055085	0.355073466	0.552616297	0.625921841	0.507530912	0.271997981	0.58547159	0.608958143	0.222309711	0.222017188	0.176604751	1	1	0	1	1.732050808
0.456120995	0.173798616	0.322852484	0.618279241	0.226356925	0.61644619	0.485878279	0.601305887	0.433396171	0.457038347	0.36214668	0.529753529	0.626553936	0.516099192	0.29329466	0.613934726	0.589091398	0.233494536	0.229708651	0.188818799	1.414213562	0	0	1	1.732050808
0.524141426	0.194034543	0.346848551	0.624975682	0.302157862	0.639921303	0.531123065	0.595287475	0.444029738	0.447915189	0.365819809	0.541497678	0.625922592	0.525305816	0.301781101	0.581673462	0.59857124	0.231888309	0.258257191	0.179416127	0	0	0	0	0
0.57336095	0.181772946	0.359134393	0.62681954	0.377419612	0.652445065	0.547920304	0.575707275	0.448187413	0.447142649	0.372148379	0.543854472	0.632284843	0.522599908	0.315797776	0.579748706	0.594072027	0.231227971	0.263086547	0.181453282	2.828427125	0	0	1.732050808	3.31662479
0.603882505	0.227011374	0.389207091	0.657847574	0.530533389	0.681476598	0.584408558	0.570424924	0.461044284	0.443843155	0.352430347	0.565975454	0.624904444	0.5279128	0.332995532	0.539462584	0.607739073	0.215513508	0.281877612	0.164627966	2	0	0	0	2
0.653558242	0.236502098	0.403567217	0.666984226	0.581813533	0.685981978	0.599283779	0.564310801	0.467640928	0.438205472	0.355129944	0.579876124	0.616891158	0.518756926	0.34442352	0.498819433	0.607122297	0.202416933	0.292247218	0.164724307	1.414213562	0	0	1.414213562	2
0.71472493	0.27830226	0.415783407	0.689169308	0.510391293	0.713012886	0.592790342	0.575255271	0.479594828	0.41778435	0.358675464	0.610338543	0.592580111	0.515055512	0.34210113	0.426040012	0.603488849	0.189017489	0.301857017	0.16730737	0	0	0	1.414213562	1.414213562
0.786554241	0.285386805	0.400628781	0.676097829	0.474896697	0.698601485	0.538145432	0.58323908	0.481262129	0.393108084	0.367262764	0.607937637	0.580241003	0.492697518	0.313310796	0.367318822	0.572815551	0.183511414	0.298961945	0.176935662	2.449489743	0	0	1	2.645751311
0.820064104	0.307712002	0.360882492	0.659582516	0.388103252	0.683691133	0.494453486	0.586517086	0.480023391	0.374833135	0.364129016	0.60348693	0.56815331	0.484149069	0.276612131	0.337596867	0.554540369	0.187451265	0.289325904	0.197433015	2	1	0	0	2.236067977
0.85566273	0.308296296	0.341984876	0.645944653	0.426104695	0.666545654	0.465764182	0.579622494	0.481846404	0.375683237	0.373244134	0.592158096	0.543276071	0.483227817	0.255481711	0.324936425	0.541257022	0.184052718	0.297247602	0.160923599	4.795831523	0	0	1.732050808	5.099019514
0.073826387	0.283223032	0.358495947	0.678677195	0.122696704	0.605361796	0.469857593	0.650348024	0.459140018	0.396477639	0.322023235	0.612362911	0.660220221	0.532983746	0.210242739	0.505232747	0.66619214	0.233044163	0.1516596	0.136798035	4.472135955	1.414213562	1	2.236067977	5.291502622
0.1151571	0.284065273	0.323736876	0.656906076	0.189956578	0.593826643	0.453467906	0.653503046	0.444665428	0.400851631	0.322868217	0.607514521	0.659777569	0.512971672	0.208367877	0.497779017	0.659416818	0.235672271	0.164843147	0.15332621	1.732050808	0	0	1	2
0.168943689	0.246323536	0.317064536	0.663664084	0.168197267	0.597274235	0.437281264	0.638731841	0.428458493	0.413907998	0.326763078	0.593684853	0.647074852	0.508024498	0.219393683	0.526550374	0.636428536	0.225235078	0.18396522	0.164693679	2.273030283	0.577350269	0	1.154700538	2.614064524
0.240643865	0.269632222	0.328018773	0.676754869	0.156104754	0.607377959	0.443492596	0.615762757	0.431503767	0.41745673	0.355017933	0.590680403	0.621424333	0.499277233	0.221182313	0.492072089	0.628066527	0.21192408	0.220928579	0.16395622	3.741657387	1	0	2.236067977	4.472135955
